274,Stephen Jiang,1235934.4451
275,Michael Blythe,10475367.0751
276,Linda Mitchell,11695019.0605
277,Jillian Carson,11342385.8968
278,Garrett Vargas,4069422.2109
279,Tsvi Reiter,8086073.6761
280,Pamela Ansman-Wolfe,3748246.1218
281,Shu Ito,7259567.8761
282,José Saraiva,6683536.6583
283,David Campbell,4207894.6025
284,Tete Mensa-Annan,2608116.3755
285,Syed Abbas,195528.7838
286,Lynn Tsoflias,1606441.4471
287,Amy Alberts,826417.4667
288,Rachel Valdez,2062393.1371
289,Jae Pak,9585124.9477
290,Ranjit Varkey Chudukatil,5087977.212
