26,Peter Krebs,22
166,Jack Richins,13
27,Jo Brown,12
108,Jinghao Liu,12
192,Brenda Diaz,12
250,Sheela Word,11
274,Stephen Jiang,10
134,Eric Gubbels,10
62,John Campbell,8
78,Reuben D'sa,8
93,Kok-Ho Loh,8
16,David Bradley,8
47,Andrew Hill,7
3,Roberto Tamburello,7
241,David Liu,7
263,Jean Trenary,7
152,Yuhong Li,7
127,David Hamilton,6
145,Cynthia Randall,6
40,JoLynn Dobney,6
71,Michael Ray,6
55,Taylor Maxwell,6
102,Zheng Mu,5
87,Cristian Petculescu,5
235,Paula Barreto de Mattos,5
205,Lori Kane,5
121,Pilar Ackerman,5
160,Jeff Hay,5
180,Katie McAskill-White,5
186,Shane Kim,5
234,Laura Norman,4
222,A. Scott Wright,4
212,Peng Wu,4
217,Zainal Arifin,4
228,Christian Kleinerman,4
25,James Hamilton,4
287,Amy Alberts,3
7,Dylan Miller,3
273,Brian Welcker,3
11,Ovidiu Cracium,2
264,Stephanie Conroy,2
227,Gary Altman,2
211,Hazem Abolrous,2
285,Syed Abbas,1
249,Wendy Kahn,1
2,Terri Duffy,1
